"Step","debug/lpl_local - _step","debug/lpl_local - _step__MIN","debug/lpl_local - _step__MAX","debug/lpl_local - Performance/linear_readout_acc","debug/lpl_local - Performance/linear_readout_acc__MIN","debug/lpl_local - Performance/linear_readout_acc__MAX"
"29467","2079","2079","2079","0.5834","0.5834","0.5834"
"29546","2084","2084","2084","0.5875","0.5875","0.5875"
"29625","2090","2090","2090","0.5859","0.5859","0.5859"
"29704","2096","2096","2096","0.5838","0.5838","0.5838"
"29783","2101","2101","2101","0.5828","0.5828","0.5828"
"29862","2107","2107","2107","0.5697","0.5697","0.5697"
"29941","2112","2112","2112","0.5872","0.5872","0.5872"
"30020","2118","2118","2118","0.5837","0.5837","0.5837"
"30099","2123","2123","2123","0.5834","0.5834","0.5834"
"30178","2129","2129","2129","0.5828","0.5828","0.5828"
"30257","2135","2135","2135","0.5763","0.5763","0.5763"
"30336","2140","2140","2140","0.5792","0.5792","0.5792"
"30415","2146","2146","2146","0.585","0.585","0.585"
"30494","2151","2151","2151","0.5762","0.5762","0.5762"
"30573","2157","2157","2157","0.5862","0.5862","0.5862"
"30652","2163","2163","2163","0.584","0.584","0.584"
"30731","2168","2168","2168","0.5824","0.5824","0.5824"
"30810","2174","2174","2174","0.5829","0.5829","0.5829"
"30889","2179","2179","2179","0.5841","0.5841","0.5841"
"30968","2185","2185","2185","0.5828","0.5828","0.5828"
"31047","2190","2190","2190","0.5769","0.5769","0.5769"
"31126","2196","2196","2196","0.5893","0.5893","0.5893"
"31205","2202","2202","2202","0.5846","0.5846","0.5846"
"31284","2207","2207","2207","0.5857","0.5857","0.5857"
"31363","2213","2213","2213","0.5854","0.5854","0.5854"
"31442","2218","2218","2218","0.5865","0.5865","0.5865"
"31521","2224","2224","2224","0.5822","0.5822","0.5822"
"31600","2230","2230","2230","0.5838","0.5838","0.5838"
"31679","2235","2235","2235","0.5821","0.5821","0.5821"
"31758","2241","2241","2241","0.5829","0.5829","0.5829"
"31837","2246","2246","2246","0.5844","0.5844","0.5844"
"31916","2252","2252","2252","0.5891","0.5891","0.5891"
"31995","2257","2257","2257","0.5816","0.5816","0.5816"
"32074","2263","2263","2263","0.5856","0.5856","0.5856"
"32153","2269","2269","2269","0.5831","0.5831","0.5831"
"32232","2274","2274","2274","0.5779","0.5779","0.5779"
"32311","2280","2280","2280","0.5824","0.5824","0.5824"
"32390","2285","2285","2285","0.5877","0.5877","0.5877"
"32469","2291","2291","2291","0.5846","0.5846","0.5846"
"32548","2296","2296","2296","0.5871","0.5871","0.5871"
"32627","2302","2302","2302","0.5869","0.5869","0.5869"
"32706","2308","2308","2308","0.5866","0.5866","0.5866"
"32785","2313","2313","2313","0.5833","0.5833","0.5833"
"32864","2319","2319","2319","0.5873","0.5873","0.5873"
"32943","2324","2324","2324","0.5877","0.5877","0.5877"
"33022","2330","2330","2330","0.5891","0.5891","0.5891"
"33101","2336","2336","2336","0.5821","0.5821","0.5821"
"33180","2341","2341","2341","0.5853","0.5853","0.5853"
"33259","2347","2347","2347","0.5901","0.5901","0.5901"
"33338","2352","2352","2352","0.585","0.585","0.585"
"33417","2358","2358","2358","0.5878","0.5878","0.5878"
"33496","2363","2363","2363","0.5836","0.5836","0.5836"
"33575","2369","2369","2369","0.5816","0.5816","0.5816"
"33654","2375","2375","2375","0.5843","0.5843","0.5843"
"33733","2380","2380","2380","0.5902","0.5902","0.5902"
"33812","2386","2386","2386","0.5896","0.5896","0.5896"
"33891","2391","2391","2391","0.5891","0.5891","0.5891"
"33970","2397","2397","2397","0.5898","0.5898","0.5898"
"34049","2402","2402","2402","0.5897","0.5897","0.5897"
"34128","2408","2408","2408","0.5897","0.5897","0.5897"
"34207","2414","2414","2414","0.5874","0.5874","0.5874"
"34286","2419","2419","2419","0.5855","0.5855","0.5855"
"34365","2425","2425","2425","0.5861","0.5861","0.5861"
"34444","2430","2430","2430","0.5878","0.5878","0.5878"
"34523","2436","2436","2436","0.5859","0.5859","0.5859"
"34602","2442","2442","2442","0.5864","0.5864","0.5864"
"34681","2447","2447","2447","0.5887","0.5887","0.5887"
"34760","2453","2453","2453","0.5883","0.5883","0.5883"
"34839","2458","2458","2458","0.5881","0.5881","0.5881"
"34918","2464","2464","2464","0.5876","0.5876","0.5876"
"34997","2469","2469","2469","0.5873","0.5873","0.5873"
"35076","2475","2475","2475","0.5876","0.5876","0.5876"
"35155","2481","2481","2481","0.5903","0.5903","0.5903"
"35234","2486","2486","2486","0.5869","0.5869","0.5869"
"35313","2492","2492","2492","0.5936","0.5936","0.5936"
